id,year,week,neutral_site,home_team,home_conference,home_points,home_elo,away_team,away_conference,away_points,away_elo,spread,margin,predicted margin
401282714,2021,1,False,Illinois,Big Ten,30,1392.0,Nebraska,Big Ten,22,1503.0,6.5,-8,-0.035930865
401286187,2021,1,False,Fresno State,Mountain West,45,1465.0,Connecticut,FBS Independents,0,1223.0,-27.5,-45,-0.06390256
401309833,2021,1,False,UCLA,Pac-12,44,1517.0,Hawai'i,Mountain West,10,1466.0,-17.5,-34,-0.051387757
401282049,2021,1,False,New Mexico State,FBS Independents,3,1261.0,UTEP,Conference USA,30,1222.0,9.5,27,-0.07303274
401300995,2021,1,False,UCF,American Athletic,36,1648.0,Boise State,Mountain West,31,1602.0,-6.5,-5,-0.029329792
401300993,2021,1,False,Appalachian State,Sun Belt,33,1659.0,East Carolina,American Athletic,19,1403.0,-9.0,-14,0.014535238
401282607,2021,1,False,NC State,ACC,45,1460.0,South Florida,American Athletic,0,1251.0,-19.0,-45,-0.042000078
401281952,2021,1,False,Tennessee,SEC,38,1489.0,Bowling Green,Mid-American,6,1041.0,-37.0,-32,-0.041730978
401282789,2021,1,False,Minnesota,Big Ten,31,1585.0,Ohio State,Big Ten,45,1905.0,14.0,14,-0.16188852
401309937,2021,1,False,Virginia Tech,ACC,17,1535.0,North Carolina,ACC,10,1725.0,5.5,-7,-0.079141796
401282052,2021,1,False,Charlotte,Conference USA,31,1366.0,Duke,ACC,28,1295.0,6.5,-3,-0.026884638
401282608,2021,1,False,Wake Forest,ACC,42,1519.0,Old Dominion,Conference USA,10,1303.0,-32.5,-32,-0.07877751
401282782,2021,1,False,Northwestern,Big Ten,21,1639.0,Michigan State,Big Ten,38,1424.0,-3.0,17,-0.022953168
401309601,2021,1,False,Georgia State,Sun Belt,10,1410.0,Army,FBS Independents,43,1549.0,-2.5,33,-0.080375545
401281947,2021,1,False,Kentucky,SEC,45,1550.0,Louisiana Monroe,Sun Belt,10,1101.0,-31.0,-35,-0.029841535
401282772,2021,1,False,Michigan,Big Ten,47,1591.0,Western Michigan,Mid-American,14,1510.0,-16.5,-33,-0.052300356
401282822,2021,1,False,Rutgers,Big Ten,61,1393.0,Temple,American Athletic,14,1304.0,-14.0,-47,-0.053699486
401287894,2021,1,False,Oklahoma,Big 12,40,1875.0,Tulane,American Athletic,35,1597.0,-31.0,-5,-0.08148525
401282815,2021,1,False,Wisconsin,Big Ten,10,1745.0,Penn State,Big Ten,16,1668.0,-5.5,6,-0.05710885
401287889,2021,1,True,Kansas State,Big 12,24,1447.0,Stanford,Pac-12,7,1491.0,-3.0,-17,-0.0166773
401309838,2021,1,False,Oregon,Pac-12,31,1698.0,Fresno State,Mountain West,24,1566.0,-19.5,-7,-0.04612004
401281943,2021,1,False,Arkansas,SEC,38,1417.0,Rice,Conference USA,17,1447.0,-19.5,-21,-0.06347947
401282723,2021,1,False,Iowa,Big Ten,34,1805.0,Indiana,Big Ten,6,1650.0,-3.5,-28,-0.06809878
401281942,2021,1,True,Miami,ACC,13,1607.0,Alabama,SEC,44,2099.0,19.5,31,-0.25379884
401282174,2021,1,False,Navy,American Athletic,7,1380.0,Marshall,Conference USA,49,1535.0,3.0,42,-0.09842195
401300996,2021,1,False,Cincinnati,American Athletic,49,1784.0,Miami (OH),Mid-American,14,1426.0,-22.5,-35,-0.0408701
401282764,2021,1,False,Maryland,Big Ten,30,1380.0,West Virginia,Big 12,24,1549.0,2.5,-6,-0.03210014
401282612,2021,1,False,Pittsburgh,ACC,51,1543.0,UMass,FBS Independents,7,1061.0,-37.5,-44,-0.053821042
401281950,2021,1,False,Missouri,SEC,34,1503.0,Central Michigan,Mid-American,24,1438.0,-14.0,-10,-0.022323474
401281949,2021,1,False,Mississippi State,SEC,35,1513.0,Louisiana Tech,Conference USA,34,1337.0,-20.5,-1,-0.02847381
401287892,2021,1,False,Texas,Big 12,38,1767.0,Louisiana,Sun Belt,18,1645.0,-8.5,-20,-0.058627978
401309842,2021,1,False,USC,Pac-12,30,1628.0,San José State,Mountain West,7,1513.0,-14.0,-23,-0.03339561
401282611,2021,1,False,Ohio,Mid-American,9,1564.0,Syracuse,ACC,29,1358.0,-2.0,20,-0.023152035
401282819,2021,1,False,Purdue,Big Ten,30,1470.0,Oregon State,Pac-12,21,1449.0,-7.0,-9,0.0002471693
401287886,2021,1,True,Houston,American Athletic,21,1495.0,Texas Tech,Big 12,38,1455.0,-2.5,17,-0.0256413
401287893,2021,1,False,Texas State,Sun Belt,20,1269.0,Baylor,Big 12,29,1525.0,13.5,9,-0.07336631
401281944,2021,1,False,Auburn,SEC,60,1665.0,Akron,Mid-American,10,1103.0,-37.0,-50,-0.05607885
401282610,2021,1,False,Georgia Tech,ACC,21,1370.0,Northern Illinois,Mid-American,22,1304.0,-19.0,1,-0.030816913
401282179,2021,1,False,Illinois,Big Ten,30,1411.0,UT San Antonio,Conference USA,37,1445.0,-4.5,7,-0.008368744
401281946,2021,1,True,Clemson,ACC,3,1942.0,Georgia,SEC,10,1800.0,-2.5,7,-0.111912966
401281945,2021,1,False,Florida,SEC,35,1700.0,Florida Atlantic,Conference USA,14,1505.0,-23.5,-21,-0.06390808
401282053,2021,1,False,Texas A&M,SEC,41,1745.0,Kent State,Mid-American,10,1441.0,-29.5,-31,-0.076354235
401282177,2021,1,False,South Alabama,Sun Belt,31,1266.0,Southern Mississippi,Conference USA,7,1360.0,-2.0,-24,-0.030910917
401281948,2021,1,False,UCLA,Pac-12,38,1605.0,LSU,SEC,27,1671.0,2.0,-11,-0.05978205
401309841,2021,1,True,Arizona,Pac-12,16,1278.0,BYU,FBS Independents,24,1837.0,13.5,8,-0.12045477
401309837,2021,1,False,California,Pac-12,17,1461.0,Nevada,Mountain West,22,1488.0,-3.0,5,-0.008361638
401310699,2021,1,False,San Diego State,Mountain West,28,1578.0,New Mexico State,FBS Independents,10,1182.0,-31.0,-18,-0.028493952
401309840,2021,1,False,Washington State,Pac-12,23,1511.0,Utah State,Mountain West,26,1319.0,-17.0,3,-0.015091151
401282614,2021,1,False,Florida State,ACC,38,1355.0,Notre Dame,FBS Independents,41,1783.0,7.5,3,-0.09470469
401282055,2021,1,True,Ole Miss,SEC,43,1576.0,Louisville,ACC,24,1559.0,-9.0,-19,-0.029744059
401287896,2021,2,False,Coastal Carolina,Sun Belt,49,1636.0,Kansas,Big 12,22,1161.0,-27.0,-27,-0.01568744
401282191,2021,2,False,Boise State,Mountain West,54,1599.0,UTEP,Conference USA,13,1301.0,-25.0,-41,-0.049463943
401282624,2021,2,False,Virginia,ACC,42,1509.0,Illinois,Big Ten,14,1400.0,-10.5,-28,-0.016675416
401282193,2021,2,False,Army,FBS Independents,38,1625.0,Western Kentucky,Conference USA,35,1399.0,-6.0,-3,0.016079796
401287899,2021,2,False,Oklahoma State,Big 12,28,1661.0,Tulsa,American Athletic,23,1525.0,-12.0,-5,-0.01390399
401282790,2021,2,False,Minnesota,Big Ten,31,1582.0,Miami (OH),Mid-American,26,1373.0,-19.0,-5,-0.019362435
401282809,2021,2,False,Ohio State,Big Ten,28,1908.0,Oregon,Pac-12,35,1700.0,-15.0,7,-0.08479413
401282065,2021,2,False,East Carolina,American Athletic,17,1396.0,South Carolina,SEC,20,1390.0,2.5,3,-0.02034565
401282066,2021,2,False,Tennessee,SEC,34,1524.0,Pittsburgh,ACC,41,1609.0,3.5,7,-0.04535431
401282059,2021,2,False,South Florida,American Athletic,20,1146.0,Florida,SEC,42,1730.0,28.5,22,-0.16341266
401309547,2021,2,False,Northern Illinois,Mid-American,43,1308.0,Wyoming,Mountain West,50,1556.0,7.0,7,-0.047692347
401282622,2021,2,False,Syracuse,ACC,7,1433.0,Rutgers,Big Ten,17,1523.0,2.5,10,-0.031713437
401282186,2021,2,False,Virginia Tech,ACC,35,1556.0,Middle Tennessee,Conference USA,14,1315.0,-20.0,-21,-0.018078469
401282705,2021,2,False,Notre Dame,FBS Independents,32,1764.0,Toledo,Mid-American,29,1443.0,-16.5,-3,-0.011611275
401282820,2021,2,False,Connecticut,FBS Independents,0,1122.0,Purdue,Big Ten,49,1483.0,35.0,49,-0.17630446
401282060,2021,2,False,Georgia,SEC,56,1818.0,UAB,Conference USA,7,1521.0,-22.5,-49,-0.070844516
401301004,2021,2,False,Navy,American Athletic,3,1275.0,Air Force,Mountain West,23,1617.0,6.0,20,-0.07244826
401282183,2021,2,False,Florida Atlantic,Conference USA,38,1475.0,Georgia Southern,Sun Belt,6,1570.0,-7.0,-32,-0.06317262
401282816,2021,2,False,Penn State,Big Ten,44,1685.0,Ball State,Mid-American,13,1559.0,-22.5,-31,-0.079437375
401282623,2021,2,False,UMass,FBS Independents,28,995.0,Boston College,ACC,45,1503.0,39.0,17,-0.18380037
401282797,2021,2,False,Nebraska,Big Ten,28,1484.0,Buffalo,Mid-American,3,1645.0,-13.5,-25,-0.0810526
401287900,2021,2,False,TCU,Big 12,34,1646.0,California,Pac-12,32,1454.0,-11.5,-2,0.0013282606
401300999,2021,2,False,Akron,Mid-American,24,1028.0,Temple,American Athletic,45,1174.0,6.5,21,-0.08293401
401282067,2021,2,True,Colorado,Pac-12,7,1446.0,Texas A&M,SEC,10,1792.0,17.0,3,-0.12031479
401309546,2021,2,False,Bowling Green,Mid-American,19,1006.0,South Alabama,Sun Belt,22,1337.0,14.5,3,-0.08859517
401282754,2021,2,False,Iowa State,Big 12,17,1791.0,Iowa,Big Ten,27,1860.0,-4.0,10,-0.12832525
401282189,2021,2,False,Rice,Conference USA,7,1394.0,Houston,American Athletic,44,1457.0,7.5,37,-0.083396494
401282620,2021,2,False,Miami,ACC,25,1585.0,Appalachian State,Sun Belt,23,1666.0,-7.5,-2,-0.05130914
401282064,2021,2,False,Mississippi State,SEC,24,1508.0,NC State,ACC,10,1565.0,1.5,-14,-0.0311687
401282825,2021,2,False,Wisconsin,Big Ten,34,1728.0,Eastern Michigan,Mid-American,7,1421.0,-26.0,-27,-0.056078985
401286295,2021,2,False,Troy,Sun Belt,13,1461.0,Liberty,FBS Independents,21,1563.0,3.0,8,-0.033676155
401282182,2021,2,False,Florida International,Conference USA,17,1375.0,Texas State,Sun Belt,23,1271.0,-2.0,6,-0.013142731
401301003,2021,2,False,Arkansas State,Sun Belt,50,1370.0,Memphis,American Athletic,55,1555.0,5.5,5,-0.03928641
401282187,2021,2,False,SMU,American Athletic,35,1521.0,North Texas,Conference USA,12,1295.0,-22.5,-23,-0.029031716
401282057,2021,2,False,Arkansas,SEC,40,1470.0,Texas,Big 12,21,1801.0,6.0,-19,-0.1270652
401310700,2021,2,False,New Mexico,Mountain West,34,1309.0,New Mexico State,FBS Independents,25,1178.0,-19.5,-9,-0.026820682
401282061,2021,2,False,Kentucky,SEC,35,1593.0,Missouri,SEC,28,1515.0,-5.5,-7,0.0031397892
401282621,2021,2,False,North Carolina,ACC,59,1704.0,Georgia State,Sun Belt,17,1334.0,-26.0,-42,-0.047573876
401282773,2021,2,False,Michigan,Big Ten,31,1672.0,Washington,Pac-12,10,1649.0,-6.5,-21,-0.05957888
401282068,2021,2,False,Colorado State,Mountain West,21,1396.0,Vanderbilt,SEC,24,1225.0,-6.5,3,-0.006746169
401309846,2021,2,False,Arizona,Pac-12,14,1304.0,San Diego State,Mountain West,38,1582.0,-1.5,24,-0.07036476
401309848,2021,2,False,BYU,FBS Independents,26,1811.0,Utah,Pac-12,17,1639.0,7.0,-9,-0.06457447
401309843,2021,2,False,USC,Pac-12,28,1672.0,Stanford,Pac-12,42,1441.0,-17.5,14,-0.030342046
401309847,2021,2,False,Arizona State,Pac-12,37,1643.0,UNLV,Mountain West,10,1256.0,-34.5,-27,-0.060367852
401309844,2021,2,False,Oregon State,Pac-12,45,1436.0,Hawai'i,Mountain West,27,1378.0,-11.0,-18,-0.0119746085
401282626,2021,3,False,Louisville,ACC,42,1509.0,UCF,American Athletic,35,1651.0,7.0,-7,-0.060420007
401282715,2021,3,False,Illinois,Big Ten,17,1340.0,Maryland,Big Ten,20,1396.0,7.0,3,-0.034815855
401309552,2021,3,False,Buffalo,Mid-American,25,1562.0,Coastal Carolina,Sun Belt,28,1655.0,14.0,3,-0.081447154
401282079,2021,3,False,Texas A&M,SEC,34,1778.0,New Mexico,Mountain West,0,1315.0,-30.0,-34,-0.051914588
401282798,2021,3,False,Oklahoma,Big 12,23,1869.0,Nebraska,Big Ten,16,1567.0,-22.5,-7,-0.053900495
